Column_Name,Variable Type,pre/post,Priority,Adobe Variable Name,Description,example,data type,Use instead,Dynamic Pricing,Transformation,Transformations,Transformation Type,Extended Column Type,New Column 1,New Column 2,New Column 3,New Column 4,New Column 5,New Column 6,New Column 7
prop64,custom,pre,,Custom Insight 64,0,0,,,,,,,,,,,,,,
prop65,custom,pre,,Custom Insight 65,0,0,,,,,,,,,,,,,,
prop66,custom,pre,,Custom Insight 66,0,0,,,,,,,,,,,,,,
prop67,custom,pre,,Custom Insight 67,0,0,,,,,,,,,,,,,,
prop68,custom,pre,,Custom Insight 68,0,0,,,,,,,,,,,,,,
prop69,custom,pre,,Custom Insight 69,0,0,,,,,,,,,,,,,,
prop7,custom,pre,,Page Owner (c7),The name of the owner category of the page on which current user activity was tracked by Adobe Analytics. It can have any value among ECOM, CATALOG, BRAND and HYPE depending on owner to which page belongs to. It is useful in analyzing the overall performance of each owner category. This value gets persisted via eVar7, throughout the visit unless overwritten by a new value.,"ECOM BRAND",,,,,,,,,,,
prop70,custom,pre,,Custom Insight 70,0,0,,,,,,,,,,,,,,
prop71,custom,pre,,Site-Specific 1,0,0,,,,,,,,,,,,,,
prop72,custom,pre,,Custom Insight 72,0,0,,,,,,,,,,,,,,
prop73,custom,pre,,Custom Insight 73,0,0,,,,,,,,,,,,,,
prop74,custom,pre,,Custom Insight 74,0,0,,,,,,,,,,,,,,
prop75,custom,pre,,Custom Insight 75,0,0,,,,,,,,,,,,,,
prop8,custom,pre,,Brand Campaign (c8),The name of various campaigns categorized by brand names for which they are running. It is used to analyze the effectiveness of the brand campaign efforts. This value gets persisted through eVar8 unless and until it is overwritten by a new value or user makes a purchase.,MIADIDAS, ORIGINALS,,,,,,,,,,,,,
prop9,custom,pre,,Stack List (c9),The release state for the customer on the hype pages. Used to analyse what states are applicable for the customers. It changes when a customer signs up for a new hype product,,,,,,,,,,,,,,,
purchaseid,standard,pre,,,Unique identifier for a purchase. Identifies a duplicate purchase (see duplicate_purchase).,AUK05935169,String (255 characters),post_purchase_id,,,,,,,,,,,,
quarterly_visitor,standard,,,,A flag to determine if current hit is a new quarterly visitor.,0,8-bit unsigned integer,,,,,,,,,,,,,
ref_domain,standard,,1,,The referring domain of the hit (based on referrer).,google.co.uk,String (255 characters),,,,,,,,,,,,,
ref_type,standard,,,,Integer representing the type of referral for the hit (has lookup table),6,8-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
referrer,standard,,1,,Page prior to the current page.,https://m.adidas.co.uk/on/demandware.store/Sites-adidas-GB-Site/en_GB/COSummary-Start?isExpressCheckout=true,String (255 characters),,,,,,,,,,,,,
resolution,standard,,1,,Resolution id (has lookup table).,188,32-bit unsigned integer,,,,,,,,,,,,,
s_resolution,standard,,,,Screen resolution as passed in from JavaScript.,320x568,String (255 characters),,,Feed Lookup,,,,,,,,,,
sampled_hit,standard,,,,A (Y/N) field if the hit was used (sampled) or not for ad hoc analysis.,Y,string (1 character),,,,,,,,,,,,,
search_engine,standard,,1,,Search engine ID, has lookup table,0,32-bit unsigned integer,,,Feed Lookup,,,,,,,,,
search_page_num,standard,,,,The page number of search results that the keywords were on from the search engine.,1,32-bit unsigned integer,,,,,,,,,,,,,
secondary_hit,standard,,1,,Used to track secondary hits. Secondary hits are charged at a rate of 50% of the normal costs.,0,8-bit unsigned integer,,,,,,,,,,,,,
service,standard,,,,Deprecated. pe or ss - type of hit coming through. The page_event column gives the same information but in more detail.,pe,String (2 characters),,,,,,,,,,,,,
socialassettrackingcode,standard,,,,,,,,,,,,,,,,,,,
socialauthor,standard,,,,,,,,,,,,,,,,,,,
socialaveragesentiment,standard,,,,,,,,,,,,,,,,,,,
socialcontentprovider,standard,,,,,,,,,,,,,,,,,,,
sociallanguage,standard,,,,,,,,,,,,,,,,,,,
sociallatlong,standard,,,,,,,,,,,,,,,,,,,
sociallink,standard,,,,,,,,,,,,,,,,,,,
socialproperty,standard,,,,,,,,,,,,,,,,,,,
socialterm,standard,,,,,,,,,,,,,,,,,,,
socialtermslist,standard,,,,,,,,,,,,,,,,,,,
sourceid,standard,,,,Adobe proprietary column information,0,32-bit unsigned integer,,,,,,,,,,,,,
state,standard,,,,Geographical region (i.e. Arizona, Utah, Saxony [German Region]) passed in on JavaScript. Normally only set on a purchase page.,,String (255 characters),,,,,,,,,,,
stats_server,standard,,,,Adobe internal server that processed the hit.,www191.lon5.omniture.com,String (255 characters),,,,,,,,,,,,,
t_time_info,standard,,,,Raw time information from JavaScript. Used to determine the visitor's timezone.,19/10/2016 14:35:20 6 0,String (255 characters),,,,,,,,,,,,,
tnt,standard,,,,Pre column for Analytics and Target integration.,,String (64k characters),,,,,,,,,,,,,
tnt_action,standard,,,,Pre column for Analytics and Target integration.,,String (64k characters),,,,,,,,,,,,,
tnt_post_vista,standard,,,,Same information as the tnt field but with any modifications made by Vista Rules, etc.,,String (64k characters),,,,,,,,,,,,
transactionid,standard,,,,A unique identifier where various data points can be uploaded later via Data Sources.,,String (255 characters),,,,,,,,,,,,,
truncated_hit,standard,,,,A (Y/N) field that determines if the query string of the hit was truncated or not. i.e.,N,String (1 character),,,,,,,,,,,,,
ua_color,standard,,,,Screen color depth. Stands for User Agent Color. From HTTP header sent by older browsers.,,String (255 characters),,,,,,,,,,,,,
ua_os,standard,,,,Screen color depth. Stands for User Agent Operating System. From HTTP header sent by older browsers.,,String (255 characters),,,,,,,,,,,,,
ua_pixels,standard,,,,Screen color depth. Stands for User Agent Pixels. From HTTP header sent by older browsers.,,String (255 characters),,,,,,,,,,,,,
user_agent,standard,,1,,User agent as found in the HTTP header sent from the browser.,"Mozilla/5.0 (iPhone, CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4",String (64k characters),,Y,Y,"Classify device into mobile phone, tablet and others based on the following rules: - Mobile Phone: If user_agent variable contained iphone or (both android and mobile) - Tablet: If user_agent variable contained ipad or (android but not mobile) - Others: All other cases",Classify,Dimension,mobile_device_type,,,,,,
user_hash,standard,,,,The hash on the report suite ID.,2943489984,32-bit unsigned integer,,,,,,,,,,,,,
user_server,standard,,,,Custom traffic variable for servers.,ADIDAS:ECOM:UK,String (255 characters),,,,,,,,,,,,,
userid,standard,,,,The numeric ID for the report suite ID (normally seen in the name of DW files).,100014048,32-bit unsigned integer,,,,,,,,,,,,,
username,standard,,,,The report suite ID.,ag-adi-global-prod,String (255 characters),,,,,,,,,,,,,
va_closer_detail,standard,,1,,Detail for last-touch value in Marketing Channels reports.,AdieSEM_GPS-_-adidas_Tiro15_Training_Pants-_-4055013905596,String (255 characters),,Y,Y,(1) Extract the first portion before '-_-' + (2) Extract the second portion separated by -_- + (3) Extract the third portion separated by -_- + (4) Extract the fourth portion separated by -_- + (5) Extract the string after 'dv:' till '-_-' or till the end of string (as applicable)  + (6) Extract the string after 'pc:' till '-_-' or till the end of string (as applicable) + (7) Extract the string after 'cn:' till '-_-' or till the end of string,Parse,Dimension,vendor,category_c,placement_c,item_c,division,product_category_c,campaign_name_c
va_closer_id,standard,,1,,ID for [first/last] -touch value in Marketing Channels reports. ID labels are found in the Marketing Channel Manager.,1,8-bit unsigned integer,,Y,Y,Classify Marketing Channel into the following based on certain rules on the va_closer_id variable:,Classify,Dimension,last_touch_channel,,,,,,
va_finder_detail,standard,,,,Detail for first-touch value in the Marketing Channels Report.,AdieAffiliates_PHG-_-groupon1-_-home-_-bs-,String (255 characters),,,,,,,,,,,,,
va_finder_id,standard,,,,ID for [first/last] -touch value in Marketing Channels reports. ID labels are found in the Marketing Channel Manager.,5,8-bit unsigned integer,,,,,,,,,,,,,
va_instance_event,standard,,,,Instance event for last-touch value in Marketing Channels reports,0,8-bit unsigned integer,,,,,,,,,,,,,
va_new_engagement,standard,,,,New engagement for first-touch value in Marketing Channels reports,0,8-bit unsigned integer,,,,,,,,,,,,,
video,standard,,,,,,,,,,,,,,,,,,,
videoad,standard,,,,,,,,,,,,,,,,,,,
videoadinpod,standard,,,,,,,,,,,,,,,,,,,
videoadplayername,standard,,,,,,,,,,,,,,,,,,,
videoadpod,standard,,,,,,,,,,,,,,,,,,,
videochannel,standard,,,,,,,,,,,,,,,,,,,
videocontenttype,standard,,,,,,,,,,,,,,,,,,,
videopath,standard,,,,,,,,,,,,,,,,,,,
videoplayername,standard,,,,,,,,,,,,,,,,,,,
videosegment,standard,,,,,,,,,,,,,,,,,,,
visid_high,standard,pre,,,It is a first part of {visitor ID} which is a key to identify unduplicated count of visitors to the site. It has a numerical value of usually 17 - 19 digit and is used for generating the visitor ID (in combination with visid_low). The value is assigned once and then get persisted in post_visid_high column. This value never expires for the visitor and hence always persist, unless and until: a) user clears the cookies b) visits the website through new device/browser c) visits the website in in-cognito mode. Part 1 of the visitorID. The combination of two visitor IDs (visid_high and visid_low) creates a unique visitor ID.,0,64-bit unsigned integer,post_visid_high,,,,,,,,,,,,
visid_low,standard,pre,,,It is a second part of {visitor ID} which is a key to identify unduplicated count of visitors to the site. It has a numerical value of usually 17 - 19 digit and is used for generating the visitor ID (in combination with visid_high). The value is assigned once and then get persisted in post_visid_low column. This value never expires for the visitor and hence always persist, unless and until: a) user clears the cookies b) visits the website through new device/browser c) visits the website in in-cognito mode. Part 2 of the visitorID. The combination of two visitor IDs (visid_high and visid_low) creates a unique visitor ID.,0,64-bit unsigned integer,post_visid_low,,,,,,,,,,,,
visid_new,standard,,,,Indicates whether this is a newly-generated visitorID. Only available if visid_type=3 (Example: a new s_vi cookie was generated).,N,string (1 character),,,,,,,,,,,,,
visid_timestamp,standard,,,,If the visitorID was generated by us (visid_type=3), this is the timestamp for when the ID was originally created.,0,32-bit unsigned integer,,,,,,,,,,,,
visid_type,standard,pre,,,Integer that specifies how the visitorID was calculated (based on a lookup).,5,8-bit unsigned integer,,,,,,,,,,,,,
visit_keywords,standard,,,,Keywords used to find the site.,,String (255 characters),,,,,,,,,,,,,
visit_num,standard,,1,,The number of the current visit (Incremented each time a visitor returns to the site).,23,32-bit unsigned integer,,Y,,count(distinct post_visid_high, post_visid_low, visit_num, visit_start_time_gmt) to calculate visits,,(see visits),,,,
visit_page_num,standard,,1,,The page sequence number in the current visit.,20,32-bit unsigned integer,,,,,,,,,,,,,
visit_referrer,standard,,1,,The referrer to the visit.,http://m.adidas.co.uk/superstar-pants/AI6185.html?slot=2,String (255 characters),,,,,,,,,,,,,
visit_search_engine,standard,,1,,The search engine used to find the site.,0,32-bit unsigned integer,,,,,,,,,,,,,
visit_start_page_url,standard,,1,,The start page for the visit.,http://m.adidas.co.uk/condivo16-training-pants/AN9855.html?pr=product_rr&slot=1,String (255 characters),,,,,,,,,,,,,
visit_start_pagename,standard,,1,,The pagename the visit started on.,PRODUCT|CONDIVO16 TRAINING PANTS (AN9855),String (255 characters),,,,,,,,,,,,,
visit_start_time_gmt,standard,,1,,The GMT timestamp of the first pageview in this visit.,1479565562,32-bit unsigned integer,,Y,,count(distinct post_visid_high, post_visid_low, visit_num, visit_start_time_gmt) to calculate visits,,(see visits),,,,
weekly_visitor,standard,,,,A flag to determine if current hit is a new weekly visitor.,0,8-bit unsigned integer,,,,,,,,,,,,,
yearly_visitor,standard,,,,A flag to determine if current hit is a new yearly visitor.,0,8-bit unsigned integer,,,,,,,,,,,,,
zip,standard,,,,Zip code (i.e. 84604,85381) passed in by JavaScript, or populated by GeoSegmentation data.,,String (255 characters),,,,,,,,,,,
brand,adidas created,,1,,It contains value adi or rbk and is used for distinguishing the data generated from user actions on adidas and reebok websites.,adi,,,Y,,,,,,,,,,,
year,adidas created,,1,,Year of data collected,2016,,,Y,,,,,,,,,,,
month,adidas created,,1,,Month of data collected,11,,,Y,,,,,,,,,,,
day,adidas created,,1,,Day of data collected,19,,,Y,,,,,,,,,,,
